pedido_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,hash_cliente,ciudad_cliente,pais_cliente,codigo_pais_cliente,fecha_registro_cliente,segmento_cliente,metodo_pago_preferido_cliente,cliente_activo,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,codigo_pais_restaurante,costo_promedio_dos_personas,nivel_rating_restaurante,tiene_delivery,tiene_comer_en_local,tiene_wifi,acepta_tarjeta,restaurante_activo,metodo_pago_key,metodo_pago,estado_key,estado_pedido,estado_completado,estado_es_incidencia,monto_total,tarifa_entrega,distancia_km,tiempo_entrega_minutos,multiplicador_hora_pico,calificacion_operativa,hubo_demora
18,18,20250730,2025-07-30,30,Wednesday,0,31,7,July,3,2025,2025-07,104,105,Cliente_000105,0140A1374951AC2EF4B7485DB36E98A5D1564C4E221FBFF0DA36D1C5AF3BC26E,Chennai,India,IN,2026-01-16,VIP,Cash,1,17,18,Chennai Copacabana Diner,Brazilian,Chennai,India,IN,137,Alto,1,0,0,1,1,4,Cash,1,Delivered,1,0,208.24,12.8,14.4,66.0,1.5,3.44,1
19,19,20241031,2024-10-31,31,Thursday,0,44,10,October,4,2024,2024-10,1156,1157,Cliente_001157,82FD54C1A27E9A153AF43BFFB63371F087BFA82365984F4B79896AF14196B95A,Hyderabad,India,IN,2025-02-04,VIP,CreditCard,0,18,19,Sao Paulo Ibiza Eatery,Spanish,Sao Paulo,Brazil,BR,126,Medio,1,1,0,1,1,4,Cash,1,Delivered,1,0,168.84,4.44,3.9,33.0,1.25,4.56,0
20,20,20260113,2026-01-13,13,Tuesday,0,3,1,January,1,2026,2026-01,4585,4586,Cliente_004586,3B01E9CABF8D1387387CB22197EFBF5134BB40A6520A3063DF88F9FC62A7A0E0,Chennai,India,IN,2026-06-10,VIP,Cash,1,19,20,Chennai Curry Leaf Corner,Indian,Chennai,India,IN,63,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,44.73,9.0,14.0,61.0,1.0,3.27,1
21,21,20251216,2025-12-16,16,Tuesday,0,51,12,December,4,2025,2025-12,3534,3535,Cliente_003535,BF2867D7F92040851010B15BB3921F63D9D77E79C79C55C08891DB5BE672642B,London,United Kingdom,GB,2023-10-19,VIP,DebitCard,1,20,21,London Meze Place,Greek,London,United Kingdom,GB,122,Medio,1,0,1,1,1,3,Wallet,1,Delivered,1,0,57.34,7.69,9.1,39.0,1.25,4.34,0
22,22,20251022,2025-10-22,22,Wednesday,0,43,10,October,4,2025,2025-10,1392,1393,Cliente_001393,0104D44FC1197F7B86BA0DBC8B194CD0F21952DDCA2A5C5BD78919F1EA06E02C,Tokyo,Japan,JP,2025-07-26,EnRiesgo,Cash,0,21,22,Yokohama Chile House,Mexican,Yokohama,Japan,JP,35,Medio,1,0,1,1,1,2,DebitCard,1,Delivered,1,0,16.1,12.44,16.7,70.0,1.25,2.66,1
23,23,20260415,2026-04-15,15,Wednesday,0,16,4,April,2,2026,2026-04,2634,2635,Cliente_002635,4245322D2EF7B22C01CC7DAABD2D5C507B72139635DAE84A76166573FAD482A8,Hyderabad,India,IN,2023-11-06,VIP,Cash,1,22,23,Hyderabad Hallyu Cafe,Korean,Hyderabad,India,IN,99,Bajo,1,0,0,1,1,2,DebitCard,1,Delivered,1,0,55.44,12.2,20.4,63.0,1.0,2.55,1
24,24,20260822,2026-08-22,22,Saturday,1,34,8,August,3,2026,2026-08,811,812,Cliente_000812,53DC221EC166DE03A76E9E191E484077B2EEAB151DE114D81F9D6CB53E42D8C8,New York,United States,US,2024-10-22,VIP,Cash,1,23,24,Houston Liberty Kitchen,American,Houston,United States,US,59,Medio,0,1,1,1,1,2,DebitCard,1,Delivered,1,0,75.52,12.19,16.3,66.0,1.25,2.97,1
25,25,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,2896,2897,Cliente_002897,4158988F46161DDA0E4D26D1D2BA9CBFF1058EB8E71C3840DB854116F9909029,Salvador,Brazil,BR,2026-03-24,VIP,Wallet,1,24,25,Salvador Rive Gauche Table,French,Salvador,Brazil,BR,113,Alto,0,0,1,1,1,3,Wallet,1,Delivered,1,0,53.11,6.19,6.7,45.0,1.25,3.98,0
26,26,20251205,2025-12-05,5,Friday,0,49,12,December,4,2025,2025-12,1024,1025,Cliente_001025,78199BB19AD5A15C2568DE04772E9EFECEB126CE3AEE33C3CC919280C837AB98,Sao Paulo,Brazil,BR,2025-08-09,VIP,Cash,1,25,26,New York Bamboo Kitchen & Bar,Japanese,New York,United States,US,119,Alto,1,1,1,1,1,4,Cash,1,Delivered,1,0,71.4,7.56,8.9,54.0,1.25,2.55,1
27,27,20250917,2025-09-17,17,Wednesday,0,38,9,September,3,2025,2025-09,1999,2000,Cliente_002000,49CF8354FE31A7048611FBE1AB643436ADAB36B431CDC0E4E2761ECE49A65927,Hyderabad,India,IN,2024-06-03,VIP,Cash,1,26,27,Hyderabad Basil Grill,Thai,Hyderabad,India,IN,144,Alto,1,1,1,1,1,3,Wallet,1,Delivered,1,0,174.24,8.6,13.2,47.0,1.0,3.02,1
28,28,20260321,2026-03-21,21,Saturday,1,12,3,March,1,2026,2026-03,342,343,Cliente_000343,851391FF692B3EF8E93B319047D3F6445BDBCC1B2EAC54C741B544A5B8E95CC5,Houston,United States,US,2026-01-18,Recurrente,Cash,1,27,28,Houston Roma Garden,Italian,Houston,United States,US,76,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,90.44,13.4,15.2,59.0,1.5,2.62,1
29,29,20260815,2026-08-15,15,Saturday,1,33,8,August,3,2026,2026-08,260,261,Cliente_000261,6B607F2F4B62244920D5E4C7E9B58A1FA1DD6A2667F80142675BE16A23539A35,Delhi,India,IN,2024-06-26,VIP,Cash,1,28,29,Delhi Terra Bistro,Mediterranean,Delhi,India,IN,132,Bajo,1,1,1,1,1,4,Cash,2,Cancelled,0,1,132.0,11.63,15.4,58.0,1.25,2.65,1
30,30,20260803,2026-08-03,3,Monday,0,32,8,August,3,2026,2026-08,4366,4367,Cliente_004367,B4A61543E77F4DDBEE0673686682D773A6C77F84AF6BC2DA74284D25F6A08C17,Sao Paulo,Brazil,BR,2024-10-14,VIP,CreditCard,1,29,30,Sao Paulo Spice Route Diner,Middle Eastern,Sao Paulo,Brazil,BR,123,Bajo,1,1,0,1,1,4,Cash,1,Delivered,1,0,72.57,11.25,14.8,58.0,1.25,2.93,1
31,31,20260608,2026-06-08,8,Monday,0,24,6,June,2,2026,2026-06,5447,5448,Cliente_005448,77E5760BD415F5150BA801DE99B0D022E8BA868AA9384522170B8B64974E696C,Hyderabad,India,IN,2026-07-19,VIP,DebitCard,1,30,31,New York Silk Road Eatery,Chinese,New York,United States,US,109,Medio,1,1,1,1,1,2,DebitCard,2,Cancelled,0,1,67.58,4.7,3.6,37.0,1.5,4.29,0
32,32,20260724,2026-07-24,24,Friday,0,30,7,July,3,2026,2026-07,1078,1079,Cliente_001079,8ED04EFE93A58BD9AAD3791A2CF2293F29CFEAF8B0D667D15D0BC74FE3554987,Chennai,India,IN,2026-08-24,VIP,Cash,0,31,32,Chennai Mekong Corner,Vietnamese,Chennai,India,IN,154,Bajo,1,0,1,1,1,4,Cash,1,Delivered,1,0,63.14,7.5,8.8,55.0,1.25,2.73,1
33,33,20251026,2025-10-26,26,Sunday,1,44,10,October,4,2025,2025-10,3117,3118,Cliente_003118,57C3E38489E4A8CBABDFA0FC44449142C0B3F5CF71CC7EB83862928873ABE490,Chennai,India,IN,2026-08-25,VIP,Wallet,1,32,33,Chennai Tropicana Place,Brazilian,Chennai,India,IN,73,Bajo,1,1,0,1,1,4,Cash,1,Delivered,1,0,81.76,16.4,19.2,80.0,1.5,2.61,1
34,34,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,5823,5824,Cliente_005824,32FB10DC1A69E10C08A945C8DA6DFEBF7B3F586F5D6F1DC26BF50AC30D940427,Rio de Janeiro,Brazil,BR,2025-11-30,Recurrente,DebitCard,1,33,34,Mumbai Flamenco House,Spanish,Mumbai,India,IN,135,Bajo,1,1,1,1,1,4,Cash,1,Delivered,1,0,86.4,12.35,20.7,61.0,1.0,2.51,1
35,35,20250917,2025-09-17,17,Wednesday,0,38,9,September,3,2025,2025-09,1686,1687,Cliente_001687,4B284CDC5B47C0633DC03C8E2228A22F03977E8290A62CD70C5C996253970915,Sao Paulo,Brazil,BR,2024-07-20,VIP,CreditCard,1,34,35,Sao Paulo Tandoor Cafe,Indian,Sao Paulo,Brazil,BR,120,Alto,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,50.4,6.5,6.0,50.0,1.5,3.4,1
36,36,20241221,2024-12-21,21,Saturday,1,51,12,December,4,2024,2024-12,1895,1896,Cliente_001896,C013EF34BBA9A0F10FC046E8BB0D7943B29B8733469E700506FF13499C44D075,Yokohama,Japan,JP,2026-06-25,Recurrente,Cash,1,35,36,Yokohama Aegean Blue Kitchen,Greek,Yokohama,Japan,JP,120,Bajo,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,133.2,15.88,18.5,73.0,1.5,3.22,1
37,37,20260306,2026-03-06,6,Friday,0,10,3,March,1,2026,2026-03,457,458,Cliente_000458,397F5BD05E73E23C2171B3768349A37144BA3A53AF5B8804A217C2493D17875E,Bangalore,India,IN,2026-08-20,VIP,Wallet,1,36,37,Bangalore Frontera Table,Mexican,Bangalore,India,IN,101,Bajo,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,115.14,5.88,6.2,46.0,1.25,2.86,1
38,38,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,2962,2963,Cliente_002963,D77A4A7A59E4735E9BFBA167A15D5DEB0291F2A274504468F6C34CF08C662460,Houston,United States,US,2026-08-18,VIP,CreditCard,1,37,38,Houston Dosan Kitchen & Bar,Korean,Houston,United States,US,96,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,79.68,8.94,11.1,44.0,1.25,4.39,0
39,39,20260823,2026-08-23,23,Sunday,1,35,8,August,3,2026,2026-08,4733,4734,Cliente_004734,79753D96B79435D7B7C51CF96FEA2A87A7F00F2842AC8FA011EEA62ECA960D1F,Delhi,India,IN,2025-01-23,VIP,CreditCard,1,38,39,Salvador Classic Grill,American,Salvador,Brazil,BR,120,Medio,1,1,0,1,1,1,CreditCard,1,Delivered,1,0,122.4,6.05,8.1,36.0,1.0,3.85,0
40,40,20260724,2026-07-24,24,Friday,0,30,7,July,3,2026,2026-07,2052,2053,Cliente_002053,E705D0FFBEFC1BCC356243CA244C4B24AE684C50737D80DCEB93EB464A72840B,London,United Kingdom,GB,2025-10-06,VIP,DebitCard,1,39,40,Delhi Bistro Garden,French,Delhi,India,IN,99,Medio,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,81.18,7.05,10.1,44.0,1.0,3.89,0
41,41,20260807,2026-08-07,7,Friday,0,32,8,August,3,2026,2026-08,5854,5855,Cliente_005855,A606AAD6809F9D29F65A35E65FB5D5A0AC97C8561AE3E8680E3D347C62D38461,Tokyo,Japan,JP,2025-10-21,VIP,DebitCard,1,40,41,Tokyo Zen Bistro,Japanese,Tokyo,Japan,JP,102,Alto,1,1,1,1,1,3,Wallet,1,Delivered,1,0,70.38,14.69,20.3,62.0,1.25,2.75,1
42,42,20240828,2024-08-28,28,Wednesday,0,35,8,August,3,2024,2024-08,5670,5671,Cliente_005671,751AC288E1F04EEDE17DACC77442300E5208CFC4358C6BAEB6F3A0D22261E650,Bangalore,India,IN,2026-02-02,Recurrente,DebitCard,1,41,42,London Bangkok Diner,Thai,London,United Kingdom,GB,93,Medio,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,39.99,9.44,11.9,49.0,1.25,2.94,1
43,43,20250406,2025-04-06,6,Sunday,1,15,4,April,2,2025,2025-04,2281,2282,Cliente_002282,9E949C87E5853447C4976A00AA61449185C57535C1AF49348CCDA87E6F5521E2,Fortaleza,Brazil,BR,2025-10-30,VIP,DebitCard,1,42,43,Hyderabad Bella Eatery,Italian,Hyderabad,India,IN,60,Medio,1,1,1,1,1,3,Wallet,1,Delivered,1,0,34.8,13.63,18.6,60.0,1.25,2.56,1
44,44,20260822,2026-08-22,22,Saturday,1,34,8,August,3,2026,2026-08,644,645,Cliente_000645,0AFD889B5DE2B6DC75402CCB82D4F41136EAF8795F3C99C8F44BEE60AC359C1B,Sao Paulo,Brazil,BR,2024-06-03,Recurrente,CreditCard,1,43,44,Sao Paulo Coastal Corner,Mediterranean,Sao Paulo,Brazil,BR,122,Bajo,1,1,1,1,1,4,Cash,1,Delivered,1,0,82.96,6.38,7.0,47.0,1.25,3.5,1
45,45,20260522,2026-05-22,22,Friday,0,21,5,May,2,2026,2026-05,4041,4042,Cliente_004042,7E11164ADCF9BB4D56083896E82F221F6A899DAF2C9410AB41CABB4F883AD735,Chicago,United States,US,2024-05-20,VIP,DebitCard,1,44,45,Chicago Aleppo Place,Middle Eastern,Chicago,United States,US,89,Bajo,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,94.34,13.4,15.2,67.0,1.5,2.63,1
46,46,20260629,2026-06-29,29,Monday,0,27,6,June,2,2026,2026-06,5582,5583,Cliente_005583,F99E44741C0F9852BB02C47BA3C5CC2B63599E1B192E5DE557AB33CD12A9AFCB,London,United Kingdom,GB,2025-05-18,Recurrente,DebitCard,1,45,46,Tokyo Dynasty House,Chinese,Tokyo,Japan,JP,136,Alto,1,0,1,1,1,1,CreditCard,1,Delivered,1,0,165.92,10.8,17.6,65.0,1.0,2.5,1
47,47,20250804,2025-08-04,4,Monday,0,32,8,August,3,2025,2025-08,280,281,Cliente_000281,47D5F0F7057EB6CBBFEB838FA275E30E1A0A224A6544D6DBDC7E00BC32C8F3DA,Delhi,India,IN,2024-12-08,VIP,DebitCard,1,46,47,Delhi Lantern Cafe,Vietnamese,Delhi,India,IN,96,Alto,1,1,1,1,1,4,Cash,1,Delivered,1,0,84.48,6.25,6.8,51.0,1.25,3.26,1
48,48,20260404,2026-04-04,4,Saturday,1,14,4,April,2,2026,2026-04,5058,5059,Cliente_005059,3FD061E6716D661B1010185D717C0F6238924FC73F43203C86623317A95531BD,Delhi,India,IN,2026-06-29,VIP,Cash,1,47,48,Delhi Bossa Kitchen,Brazilian,Delhi,India,IN,78,Medio,1,1,0,1,1,1,CreditCard,1,Delivered,1,0,118.56,4.35,4.7,36.0,1.0,4.29,0
49,49,20260804,2026-08-04,4,Tuesday,0,32,8,August,3,2026,2026-08,2008,2009,Cliente_002009,343D4F85F38DC8CD427A6CBDEC97538A7A295A38EB571352F7507F91E3BD9F0E,Chennai,India,IN,2024-10-03,VIP,Cash,0,48,49,Chennai Tapas Table,Spanish,Chennai,India,IN,79,Bajo,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,60.83,10.35,16.7,51.0,1.0,2.8,1
50,50,20250503,2025-05-03,3,Saturday,1,18,5,May,2,2025,2025-05,2992,2993,Cliente_002993,185CE3EE103F15B977EF0D4A7A8E65EA8EB5E3601F9BA1681E605CC891D9A849,Osaka,Japan,JP,2025-08-16,Recurrente,Cash,1,49,50,Osaka Saffron Kitchen & Bar,Indian,Osaka,Japan,JP,63,Bajo,1,1,1,1,1,3,Wallet,1,Delivered,1,0,32.76,11.75,19.5,74.0,1.0,2.97,1
51,51,20260105,2026-01-05,5,Monday,0,2,1,January,1,2026,2026-01,2448,2449,Cliente_002449,55361DA84972C503A7690B88EF1EA7269644A685D941A3245C4BE7DC4FE094E5,Brasilia,Brazil,BR,2026-07-29,Recurrente,DebitCard,1,50,51,Brasilia Athena Grill,Greek,Brasilia,Brazil,BR,120,Bajo,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,154.8,4.1,2.8,43.0,1.5,3.94,0
52,52,20260701,2026-07-01,1,Wednesday,0,27,7,July,3,2026,2026-07,569,570,Cliente_000570,A466CACDF9667E453D676E8991C3DE86DCD21DF6FCD0F56BB02550412F17640E,Fortaleza,Brazil,BR,2026-03-13,VIP,Cash,1,51,52,Fortaleza Agave Garden,Mexican,Fortaleza,Brazil,BR,116,Alto,1,1,1,1,1,4,Cash,4,Failed,0,1,114.84,5.0,6.0,43.0,1.0,4.09,0
53,53,20250127,2025-01-27,27,Monday,0,5,1,January,1,2025,2025-01,718,719,Cliente_000719,FC3C53660DF3AC306B45F39BD3831EF642109D1260E5C556A81F1A21482565B2,Los Angeles,United States,US,2026-06-27,Recurrente,Cash,1,52,53,Los Angeles Charcoal Bistro,Korean,Los Angeles,United States,US,106,Alto,0,1,1,1,0,4,Cash,1,Delivered,1,0,153.7,7.06,8.1,41.0,1.25,3.82,0
54,54,20250127,2025-01-27,27,Monday,0,5,1,January,1,2025,2025-01,3878,3879,Cliente_003879,82055150EDAA769951A1EECFAA3B94EC4C1C67D978606992524DC390E5A04767,Chennai,India,IN,2024-01-13,Recurrente,Cash,0,53,54,Birmingham Backyard Diner,American,Birmingham,United Kingdom,GB,127,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,52.07,4.55,3.4,47.0,1.5,3.08,1
55,55,20260523,2026-05-23,23,Saturday,1,21,5,May,2,2026,2026-05,3772,3773,Cliente_003773,85839294827309F57FF450584517A498A763E1C9EF45DFEEF2500E1D68FCE70A,New York,United States,US,2026-06-10,VIP,CreditCard,1,54,55,Tokyo Amelie Eatery,French,Tokyo,Japan,JP,99,Alto,1,1,1,1,1,3,Wallet,4,Failed,0,1,57.42,2.88,1.4,39.0,1.25,3.83,0
56,56,20260217,2026-02-17,17,Tuesday,0,8,2,February,1,2026,2026-02,3473,3474,Cliente_003474,FBC8254434D455218A0002A6CBD26696916C4B2A8F34AF2377B703F9B7018898,Delhi,India,IN,2026-08-15,VIP,DebitCard,1,55,56,Chennai Sakura Corner,Japanese,Chennai,India,IN,113,Medio,1,1,1,1,1,2,DebitCard,1,Delivered,1,0,138.99,14.88,20.6,66.0,1.25,3.01,1
57,57,20250905,2025-09-05,5,Friday,0,36,9,September,3,2025,2025-09,822,823,Cliente_000823,7D14F842766B17BCD13FB0092027CAC594A0D5B480AA3773A2CA683515994D8C,Fortaleza,Brazil,BR,2026-04-12,VIP,Cash,1,56,57,Fortaleza Orchid Place,Thai,Fortaleza,Brazil,BR,127,Medio,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,55.88,9.2,9.6,58.0,1.5,3.29,1
58,58,20251222,2025-12-22,22,Monday,0,52,12,December,4,2025,2025-12,336,337,Cliente_000337,0F043AEFCD6000E184F0D03181BFB67F77D17D431C443DEF15883C8E9D0E6ACE,Sao Paulo,Brazil,BR,2024-12-17,VIP,CreditCard,1,57,58,Sao Paulo Piazza House,Italian,Sao Paulo,Brazil,BR,46,Alto,1,0,0,0,1,3,Wallet,1,Delivered,1,0,72.22,12.65,14.2,57.0,1.5,2.56,1
59,59,20260302,2026-03-02,2,Monday,0,10,3,March,1,2026,2026-03,5000,5001,Cliente_005001,D4B9512219E7D8B4F9E54E3FCE8A4DDB5E5428588235FE56D99A8DA9CDAE560F,Rio de Janeiro,Brazil,BR,2025-07-27,VIP,DebitCard,1,58,59,Rio de Janeiro Sunset Cafe,Mediterranean,Rio de Janeiro,Brazil,BR,109,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,149.33,6.3,8.6,42.0,1.0,4.43,0
