resena_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,ciudad_cliente,pais_cliente,segmento_cliente,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,nivel_rating_restaurante,calificacion,tiene_comentario,comentario
15,50,20250506,2025-05-06,6,Tuesday,0,19,5,May,2,2025,2025-05,2992,2993,Cliente_002993,Osaka,Japan,Recurrente,49,50,Osaka Saffron Kitchen & Bar,Indian,Osaka,Japan,Bajo,2.3,0,
16,51,20260106,2026-01-06,6,Tuesday,0,2,1,January,1,2026,2026-01,2448,2449,Cliente_002449,Brasilia,Brazil,Recurrente,50,51,Brasilia Athena Grill,Greek,Brasilia,Brazil,Bajo,3.0,1,"Average experience, nothing special."
17,54,20250131,2025-01-31,31,Friday,0,5,1,January,1,2025,2025-01,3878,3879,Cliente_003879,Chennai,India,Recurrente,53,54,Birmingham Backyard Diner,American,Birmingham,United Kingdom,Alto,3.2,1,Decent but could be better.
18,58,20251225,2025-12-25,25,Thursday,0,52,12,December,4,2025,2025-12,336,337,Cliente_000337,Sao Paulo,Brazil,VIP,57,58,Sao Paulo Piazza House,Italian,Sao Paulo,Brazil,Alto,2.9,1,"Average experience, nothing special."
19,59,20260306,2026-03-06,6,Friday,0,10,3,March,1,2026,2026-03,5000,5001,Cliente_005001,Rio de Janeiro,Brazil,VIP,58,59,Rio de Janeiro Sunset Cafe,Mediterranean,Rio de Janeiro,Brazil,Alto,5.0,1,Excellent service and tasty food.
20,63,20250312,2025-03-12,12,Wednesday,0,11,3,March,1,2025,2025-03,3959,3960,Cliente_003960,Chicago,United States,VIP,62,63,Salvador Verde Grill,Brazilian,Salvador,Brazil,Medio,2.2,0,
21,64,20260813,2026-08-13,13,Thursday,0,33,8,August,3,2026,2026-08,27,28,Cliente_000028,Tokyo,Japan,VIP,63,64,Tokyo Sevilla Garden,Spanish,Tokyo,Japan,Alto,2.0,1,Delivery was very delayed.
22,65,20250611,2025-06-11,11,Wednesday,0,24,6,June,2,2025,2025-06,4200,4201,Cliente_004201,Rio de Janeiro,Brazil,VIP,64,65,Rio de Janeiro Maharaja Bistro,Indian,Rio de Janeiro,Brazil,Bajo,3.5,1,"Average experience, nothing special."
23,67,20260826,2026-08-26,26,Wednesday,0,35,8,August,3,2026,2026-08,4000,4001,Cliente_004001,Tokyo,Japan,Recurrente,66,67,Tokyo Sol Eatery,Mexican,Tokyo,Japan,Medio,3.1,1,"Average experience, nothing special."
24,71,20260112,2026-01-12,12,Monday,0,3,1,January,1,2026,2026-01,3801,3802,Cliente_003802,Tokyo,Japan,VIP,70,71,Salvador Wasabi Cafe,Japanese,Salvador,Brazil,Bajo,2.1,1,Delivery was very delayed.
25,73,20260723,2026-07-23,23,Thursday,0,30,7,July,3,2026,2026-07,3511,3512,Cliente_003512,Chennai,India,Recurrente,72,73,Chennai Vineyard Table,Italian,Chennai,India,Medio,3.7,0,
26,74,20251018,2025-10-18,18,Saturday,1,42,10,October,4,2025,2025-10,4743,4744,Cliente_004744,Chicago,United States,VIP,73,74,Chicago Levant Kitchen & Bar,Mediterranean,Chicago,United States,Medio,5.0,0,
27,77,20240924,2024-09-24,24,Tuesday,0,39,9,September,3,2024,2024-09,754,755,Cliente_000755,Bangalore,India,VIP,76,77,Bangalore Hanoi Bistro,Vietnamese,Bangalore,India,Alto,3.5,0,
28,78,20260716,2026-07-16,16,Thursday,0,29,7,July,3,2026,2026-07,1694,1695,Cliente_001695,Rio de Janeiro,Brazil,VIP,77,78,Rio de Janeiro Churrascaria Diner,Brazilian,Rio de Janeiro,Brazil,Alto,2.1,0,
29,79,20260509,2026-05-09,9,Saturday,1,19,5,May,2,2026,2026-05,811,812,Cliente_000812,New York,United States,VIP,78,79,New York Madrid Eatery,Spanish,New York,United States,Medio,5.0,1,"Great food, fast delivery, will order again."
30,80,20250129,2025-01-29,29,Wednesday,0,5,1,January,1,2025,2025-01,4920,4921,Cliente_004921,Chennai,India,Recurrente,79,80,Chennai Spice Corner,Indian,Chennai,India,Alto,3.7,0,
31,81,20250302,2025-03-02,2,Sunday,1,10,3,March,1,2025,2025-03,1346,1347,Cliente_001347,London,United Kingdom,VIP,80,81,London Santorini Place,Greek,London,United Kingdom,Bajo,3.7,1,"It was fine, some items were cold."
32,84,20250527,2025-05-27,27,Tuesday,0,22,5,May,2,2025,2025-05,2761,2762,Cliente_002762,Yokohama,Japan,Recurrente,83,84,Yokohama Uptown Kitchen,American,Yokohama,Japan,Medio,2.9,0,
33,85,20250629,2025-06-29,29,Sunday,1,27,6,June,2,2025,2025-06,3841,3842,Cliente_003842,Chicago,United States,VIP,84,85,Chicago Cheri Table,French,Chicago,United States,Bajo,3.5,0,
34,87,20260328,2026-03-28,28,Saturday,1,13,3,March,1,2026,2026-03,1231,1232,Cliente_001232,Delhi,India,VIP,86,87,Delhi Golden Elephant Grill,Thai,Delhi,India,Bajo,2.1,0,
35,91,20241113,2024-11-13,13,Wednesday,0,46,11,November,4,2024,2024-11,671,672,Cliente_000672,Tokyo,Japan,VIP,90,91,Chennai Panda Eatery,Chinese,Chennai,India,Alto,5.0,1,"Really enjoyed this, everything arrived hot."
36,93,20250930,2025-09-30,30,Tuesday,0,40,9,September,3,2025,2025-09,1705,1706,Cliente_001706,Tokyo,Japan,VIP,92,93,Tokyo Cerrado Place,Brazilian,Tokyo,Japan,Bajo,4.0,0,
37,95,20250919,2025-09-19,19,Friday,0,38,9,September,3,2025,2025-09,4891,4892,Cliente_004892,Tokyo,Japan,Recurrente,94,95,Tokyo Namaste Cafe,Indian,Tokyo,Japan,Medio,4.1,1,"Really enjoyed this, everything arrived hot."
38,97,20260309,2026-03-09,9,Monday,0,11,3,March,1,2026,2026-03,4545,4546,Cliente_004546,Tokyo,Japan,Recurrente,96,97,Tokyo Azteca Table,Mexican,Tokyo,Japan,Medio,4.3,0,
39,99,20251205,2025-12-05,5,Friday,0,49,12,December,4,2025,2025-12,528,529,Cliente_000529,Fortaleza,Brazil,VIP,98,99,Delhi Diner Grill,American,Delhi,India,Bajo,3.8,0,
40,103,20250310,2025-03-10,10,Monday,0,11,3,March,1,2025,2025-03,4255,4256,Cliente_004256,Chicago,United States,VIP,102,103,Chicago Vino Eatery,Italian,Chicago,United States,Alto,2.6,0,
41,104,20260422,2026-04-22,22,Wednesday,0,17,4,April,2,2026,2026-04,4951,4952,Cliente_004952,Yokohama,Japan,VIP,103,104,Yokohama Olive Corner,Mediterranean,Yokohama,Japan,Medio,2.1,1,Delivery was very delayed.
42,105,20250421,2025-04-21,21,Monday,0,17,4,April,2,2025,2025-04,4710,4711,Cliente_004711,Sao Paulo,Brazil,VIP,104,105,Delhi Cedar Grove Place,Middle Eastern,Delhi,India,Medio,5.0,0,
43,106,20251027,2025-10-27,27,Monday,0,44,10,October,4,2025,2025-10,4594,4595,Cliente_004595,Yokohama,Japan,VIP,105,106,Yokohama Jade House,Chinese,Yokohama,Japan,Alto,3.9,1,"Average experience, nothing special."
44,107,20241219,2024-12-19,19,Thursday,0,51,12,December,4,2024,2024-12,5301,5302,Cliente_005302,Delhi,India,VIP,106,107,Delhi Bamboo Bowl Cafe,Vietnamese,Delhi,India,Medio,2.8,1,"Food was okay, delivery took a while."
45,108,20250502,2025-05-02,2,Friday,0,18,5,May,2,2025,2025-05,1500,1501,Cliente_001501,Bangalore,India,Recurrente,107,108,Bangalore Ipanema Kitchen,Brazilian,Bangalore,India,Medio,4.0,0,
46,112,20260508,2026-05-08,8,Friday,0,19,5,May,2,2026,2026-05,5641,5642,Cliente_005642,Hyderabad,India,VIP,111,112,Hyderabad Fiesta Garden,Mexican,Hyderabad,India,Bajo,3.5,0,
47,114,20260204,2026-02-04,4,Wednesday,0,6,2,February,1,2026,2026-02,4858,4859,Cliente_004859,Bangalore,India,Recurrente,113,114,Bangalore Smokehouse Diner,American,Bangalore,India,Bajo,3.3,0,
48,115,20241213,2024-12-13,13,Friday,0,50,12,December,4,2024,2024-12,2386,2387,Cliente_002387,Tokyo,Japan,Recurrente,114,115,Birmingham Lumiere Eatery,French,Birmingham,United Kingdom,Medio,3.4,1,"It was fine, some items were cold."
49,116,20260702,2026-07-02,2,Thursday,0,27,7,July,3,2026,2026-07,2086,2087,Cliente_002087,Hyderabad,India,VIP,115,116,Bangalore Umami Corner,Japanese,Bangalore,India,Bajo,3.8,1,"It was fine, some items were cold."
50,119,20260514,2026-05-14,14,Thursday,0,20,5,May,2,2026,2026-05,5474,5475,Cliente_005475,Chennai,India,VIP,118,119,Chennai Blue Wave Cafe,Mediterranean,Chennai,India,Bajo,2.6,0,
51,120,20250812,2025-08-12,12,Tuesday,0,33,8,August,3,2025,2025-08,5460,5461,Cliente_005461,Sao Paulo,Brazil,Recurrente,119,120,Sao Paulo Oasis Kitchen,Middle Eastern,Sao Paulo,Brazil,Bajo,5.0,0,
52,124,20250817,2025-08-17,17,Sunday,1,34,8,August,3,2025,2025-08,906,907,Cliente_000907,Sao Paulo,Brazil,VIP,123,124,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,Medio,1.9,1,Delivery was very delayed.
53,125,20260123,2026-01-23,23,Friday,0,4,1,January,1,2026,2026-01,3299,3300,Cliente_003300,Bangalore,India,VIP,124,125,Bangalore Masala Bistro,Indian,Bangalore,India,Medio,3.6,0,
54,129,20260726,2026-07-26,26,Sunday,1,31,7,July,3,2026,2026-07,4923,4924,Cliente_004924,Los Angeles,United States,VIP,128,129,Los Angeles Route 66 Place,American,Los Angeles,United States,Alto,3.7,1,"Food was okay, delivery took a while."
55,130,20260624,2026-06-24,24,Wednesday,0,26,6,June,2,2026,2026-06,2906,2907,Cliente_002907,Mumbai,India,VIP,129,130,New York Chateau House,French,New York,United States,Medio,5.0,0,
56,137,20260321,2026-03-21,21,Saturday,1,12,3,March,1,2026,2026-03,5856,5857,Cliente_005857,Mumbai,India,VIP,136,137,Mumbai Saigon Bistro,Vietnamese,Mumbai,India,Bajo,4.3,1,Excellent service and tasty food.
57,140,20260801,2026-08-01,1,Saturday,1,31,8,August,3,2026,2026-08,5326,5327,Cliente_005327,Mumbai,India,Recurrente,139,140,Mumbai Curry Leaf Corner,Indian,Mumbai,India,Alto,3.1,0,
58,141,20260507,2026-05-07,7,Thursday,0,19,5,May,2,2026,2026-05,1034,1035,Cliente_001035,Yokohama,Japan,VIP,140,141,Leeds Meze Place,Greek,Leeds,United Kingdom,Medio,4.5,0,
59,144,20241015,2024-10-15,15,Tuesday,0,42,10,October,4,2024,2024-10,2896,2897,Cliente_002897,Salvador,Brazil,VIP,143,144,Salvador Liberty Kitchen,American,Salvador,Brazil,Bajo,3.3,1,"It was fine, some items were cold."
60,145,20251110,2025-11-10,10,Monday,0,46,11,November,4,2025,2025-11,3162,3163,Cliente_003163,Osaka,Japan,VIP,144,145,Osaka Rive Gauche Table,French,Osaka,Japan,Medio,3.7,0,
61,147,20251227,2025-12-27,27,Saturday,1,52,12,December,4,2025,2025-12,5290,5291,Cliente_005291,New York,United States,VIP,146,147,New York Basil Grill,Thai,New York,United States,Alto,4.8,0,
62,148,20260708,2026-07-08,8,Wednesday,0,28,7,July,3,2026,2026-07,4240,4241,Cliente_004241,Bangalore,India,VIP,147,148,Bangalore Roma Garden,Italian,Bangalore,India,Alto,1.9,1,Delivery was very delayed.
63,152,20260531,2026-05-31,31,Sunday,1,23,5,May,2,2026,2026-05,1474,1475,Cliente_001475,Mumbai,India,VIP,151,152,Mumbai Mekong Corner,Vietnamese,Mumbai,India,Alto,2.2,1,Delivery was very delayed.
64,153,20250320,2025-03-20,20,Thursday,0,12,3,March,1,2025,2025-03,3863,3864,Cliente_003864,Chennai,India,VIP,152,153,Chennai Tropicana Place,Brazilian,Chennai,India,Bajo,5.0,0,
65,154,20260509,2026-05-09,9,Saturday,1,19,5,May,2,2026,2026-05,851,852,Cliente_000852,Tokyo,Japan,Recurrente,153,154,Tokyo Flamenco House,Spanish,Tokyo,Japan,Medio,2.6,0,
66,155,20250527,2025-05-27,27,Tuesday,0,22,5,May,2,2025,2025-05,4552,4553,Cliente_004553,Rio de Janeiro,Brazil,VIP,154,155,London Tandoor Cafe,Indian,London,United Kingdom,Alto,2.6,0,
67,156,20251207,2025-12-07,7,Sunday,1,50,12,December,4,2025,2025-12,4607,4608,Cliente_004608,Sao Paulo,Brazil,Recurrente,155,156,Sao Paulo Aegean Blue Kitchen,Greek,Sao Paulo,Brazil,Bajo,4.3,1,"Great food, fast delivery, will order again."
68,158,20251022,2025-10-22,22,Wednesday,0,43,10,October,4,2025,2025-10,673,674,Cliente_000674,New York,United States,Recurrente,157,158,New York Dosan Kitchen & Bar,Korean,New York,United States,Alto,3.0,1,"Average experience, nothing special."
69,159,20241025,2024-10-25,25,Friday,0,43,10,October,4,2024,2024-10,3970,3971,Cliente_003971,Hyderabad,India,VIP,158,159,Hyderabad Classic Grill,American,Hyderabad,India,Alto,3.8,0,
70,164,20260131,2026-01-31,31,Saturday,1,5,1,January,1,2026,2026-01,1595,1596,Cliente_001596,Delhi,India,Recurrente,163,164,Hyderabad Coastal Corner,Mediterranean,Hyderabad,India,Alto,4.6,1,Consistently good quality.
71,166,20241122,2024-11-22,22,Friday,0,47,11,November,4,2024,2024-11,4413,4414,Cliente_004414,London,United Kingdom,VIP,165,166,London Dynasty House,Chinese,London,United Kingdom,Medio,5.0,0,
72,169,20260527,2026-05-27,27,Wednesday,0,22,5,May,2,2026,2026-05,4697,4698,Cliente_004698,Bangalore,India,VIP,168,169,Bangalore Tapas Table,Spanish,Bangalore,India,Alto,3.6,0,
73,171,20260611,2026-06-11,11,Thursday,0,24,6,June,2,2026,2026-06,1762,1763,Cliente_001763,Chennai,India,Recurrente,170,171,Rio de Janeiro Athena Grill,Greek,Rio de Janeiro,Brazil,Alto,3.4,0,
74,173,20250516,2025-05-16,16,Friday,0,20,5,May,2,2025,2025-05,2009,2010,Cliente_002010,Sao Paulo,Brazil,EnRiesgo,172,173,Sao Paulo Charcoal Bistro,Korean,Sao Paulo,Brazil,Bajo,2.6,0,
75,174,20250826,2025-08-26,26,Tuesday,0,35,8,August,3,2025,2025-08,5871,5872,Cliente_005872,New York,United States,Recurrente,173,174,New York Backyard Diner,American,New York,United States,Alto,2.5,0,
76,175,20260509,2026-05-09,9,Saturday,1,19,5,May,2,2026,2026-05,995,996,Cliente_000996,Birmingham,United Kingdom,EnRiesgo,174,175,Birmingham Amelie Eatery,French,Birmingham,United Kingdom,Alto,3.1,1,"Food was okay, delivery took a while."
77,176,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,5443,5444,Cliente_005444,Chennai,India,Recurrente,175,176,New York Sakura Corner,Japanese,New York,United States,Bajo,3.9,0,
78,182,20250506,2025-05-06,6,Tuesday,0,19,5,May,2,2025,2025-05,3364,3365,Cliente_003365,Sao Paulo,Brazil,VIP,181,182,Sao Paulo Perfume River Kitchen & Bar,Vietnamese,Sao Paulo,Brazil,Alto,2.2,1,"Poor experience, would not order again."
79,183,20250226,2025-02-26,26,Wednesday,0,9,2,February,1,2025,2025-02,4412,4413,Cliente_004413,Chicago,United States,Recurrente,182,183,Fortaleza Verde Grill,Brazilian,Fortaleza,Brazil,Alto,5.0,1,Consistently good quality.
80,184,20250912,2025-09-12,12,Friday,0,37,9,September,3,2025,2025-09,1116,1117,Cliente_001117,Tokyo,Japan,Recurrente,183,184,Tokyo Sevilla Garden,Spanish,Tokyo,Japan,Alto,3.8,0,
81,189,20250912,2025-09-12,12,Friday,0,37,9,September,3,2025,2025-09,1233,1234,Cliente_001234,Tokyo,Japan,EnRiesgo,188,189,Tokyo Roadside Place,American,Tokyo,Japan,Medio,3.3,0,
82,190,20240831,2024-08-31,31,Saturday,1,35,8,August,3,2024,2024-08,4052,4053,Cliente_004053,London,United Kingdom,VIP,189,190,Bangalore Champs House,French,Bangalore,India,Medio,2.3,0,
83,192,20260507,2026-05-07,7,Thursday,0,19,5,May,2,2026,2026-05,1471,1472,Cliente_001472,Sao Paulo,Brazil,VIP,191,192,Sao Paulo Lemongrass Kitchen,Thai,Sao Paulo,Brazil,Alto,2.7,1,"It was fine, some items were cold."
84,194,20260712,2026-07-12,12,Sunday,1,29,7,July,3,2026,2026-07,1477,1478,Cliente_001478,Rio de Janeiro,Brazil,Recurrente,193,194,Rio de Janeiro Levant Kitchen & Bar,Mediterranean,Rio de Janeiro,Brazil,Bajo,4.1,1,Consistently good quality.
85,201,20250125,2025-01-25,25,Saturday,1,4,1,January,1,2025,2025-01,5789,5790,Cliente_005790,London,United Kingdom,VIP,200,201,London Santorini Place,Greek,London,United Kingdom,Medio,2.6,0,
86,202,20260328,2026-03-28,28,Saturday,1,13,3,March,1,2026,2026-03,3763,3764,Cliente_003764,Sao Paulo,Brazil,VIP,201,202,Sao Paulo Cantina House,Mexican,Sao Paulo,Brazil,Bajo,2.6,0,
87,205,20260317,2026-03-17,17,Tuesday,0,12,3,March,1,2026,2026-03,1126,1127,Cliente_001127,Rio de Janeiro,Brazil,VIP,204,205,Rio de Janeiro Cheri Table,French,Rio de Janeiro,Brazil,Alto,2.3,1,Delivery was very delayed.
88,209,20260331,2026-03-31,31,Tuesday,0,14,3,March,1,2026,2026-03,3888,3889,Cliente_003889,Mumbai,India,Recurrente,208,209,Mumbai Aegean Bistro,Mediterranean,Mumbai,India,Medio,4.1,0,
89,210,20260809,2026-08-09,9,Sunday,1,33,8,August,3,2026,2026-08,5994,5995,Cliente_005995,Brasilia,Brazil,VIP,209,210,Brasilia Bazaar Diner,Middle Eastern,Brasilia,Brazil,Medio,4.1,0,
90,217,20260105,2026-01-05,5,Monday,0,2,1,January,1,2026,2026-01,567,568,Cliente_000568,London,United Kingdom,Recurrente,216,217,London Azteca Table,Mexican,London,United Kingdom,Alto,3.7,1,"Food was okay, delivery took a while."
91,219,20260627,2026-06-27,27,Saturday,1,26,6,June,2,2026,2026-06,1264,1265,Cliente_001265,Bangalore,India,VIP,218,219,New York Diner Grill,American,New York,United States,Alto,5.0,0,
92,220,20260130,2026-01-30,30,Friday,0,5,1,January,1,2026,2026-01,189,190,Cliente_000190,Sao Paulo,Brazil,Recurrente,219,220,Chicago Provence Garden,French,Chicago,United States,Alto,5.0,0,
93,221,20251201,2025-12-01,1,Monday,0,49,12,December,4,2025,2025-12,3459,3460,Cliente_003460,Mumbai,India,VIP,220,221,Mumbai Fuji Bistro,Japanese,Mumbai,India,Medio,5.0,1,Excellent service and tasty food.
94,222,20250222,2025-02-22,22,Saturday,1,8,2,February,1,2025,2025-02,1109,1110,Cliente_001110,Mumbai,India,VIP,221,222,London Jasmine Diner,Thai,London,United Kingdom,Alto,2.3,0,
95,226,20250623,2025-06-23,23,Monday,0,26,6,June,2,2025,2025-06,4081,4082,Cliente_004082,Sao Paulo,Brazil,VIP,225,226,Sao Paulo Jade House,Chinese,Sao Paulo,Brazil,Alto,2.8,0,
96,227,20260417,2026-04-17,17,Friday,0,16,4,April,2,2026,2026-04,3781,3782,Cliente_003782,Salvador,Brazil,VIP,226,227,Salvador Bamboo Bowl Cafe,Vietnamese,Salvador,Brazil,Medio,2.1,0,
97,228,20260204,2026-02-04,4,Wednesday,0,6,2,February,1,2026,2026-02,5126,5127,Cliente_005127,Delhi,India,Recurrente,227,228,Delhi Ipanema Kitchen,Brazilian,Delhi,India,Alto,2.5,1,"It was fine, some items were cold."
98,229,20250723,2025-07-23,23,Wednesday,0,30,7,July,3,2025,2025-07,3926,3927,Cliente_003927,Rio de Janeiro,Brazil,Recurrente,228,229,Rio de Janeiro Costa Table,Spanish,Rio de Janeiro,Brazil,Bajo,3.6,1,Decent but could be better.
99,236,20260517,2026-05-17,17,Sunday,1,21,5,May,2,2026,2026-05,3846,3847,Cliente_003847,Rio de Janeiro,Brazil,VIP,235,236,Osaka Umami Corner,Japanese,Osaka,Japan,Alto,3.2,0,
100,240,20250517,2025-05-17,17,Saturday,1,20,5,May,2,2025,2025-05,4342,4343,Cliente_004343,New York,United States,VIP,239,240,New York Oasis Kitchen,Middle Eastern,New York,United States,Medio,4.4,0,
101,246,20260308,2026-03-08,8,Sunday,1,11,3,March,1,2026,2026-03,5656,5657,Cliente_005657,Bangalore,India,VIP,245,246,New York Opa Diner,Greek,New York,United States,Alto,3.7,1,"Food was okay, delivery took a while."
102,248,20241125,2024-11-25,25,Monday,0,48,11,November,4,2024,2024-11,1177,1178,Cliente_001178,New York,United States,Recurrente,247,248,New York Seoul Corner,Korean,New York,United States,Alto,1.8,0,
103,251,20250419,2025-04-19,19,Saturday,1,16,4,April,2,2025,2025-04,4953,4954,Cliente_004954,Mumbai,India,VIP,250,251,London Koi Cafe,Japanese,London,United Kingdom,Alto,2.9,0,
104,261,20250106,2025-01-06,6,Monday,0,2,1,January,1,2025,2025-01,1550,1551,Cliente_001551,London,United Kingdom,VIP,260,261,London Meze Place,Greek,London,United Kingdom,Medio,2.2,1,Delivery was very delayed.
105,266,20250618,2025-06-18,18,Wednesday,0,25,6,June,2,2025,2025-06,5970,5971,Cliente_005971,Hyderabad,India,VIP,265,266,Hyderabad Bamboo Kitchen & Bar,Japanese,Hyderabad,India,Bajo,3.4,0,
106,267,20260529,2026-05-29,29,Friday,0,22,5,May,2,2026,2026-05,4304,4305,Cliente_004305,Mumbai,India,Recurrente,266,267,Mumbai Basil Grill,Thai,Mumbai,India,Bajo,3.2,0,
107,268,20260713,2026-07-13,13,Monday,0,29,7,July,3,2026,2026-07,1116,1117,Cliente_001117,Tokyo,Japan,Recurrente,267,268,Tokyo Roma Garden,Italian,Tokyo,Japan,Alto,3.3,1,"Food was okay, delivery took a while."
108,270,20260817,2026-08-17,17,Monday,0,34,8,August,3,2026,2026-08,2607,2608,Cliente_002608,Hyderabad,India,Recurrente,269,270,Mumbai Spice Route Diner,Middle Eastern,Mumbai,India,Medio,4.0,1,Consistently good quality.
109,277,20241101,2024-11-01,1,Friday,0,44,11,November,4,2024,2024-11,3007,3008,Cliente_003008,Delhi,India,EnRiesgo,276,277,Delhi Frontera Table,Mexican,Delhi,India,Bajo,3.7,1,"Food was okay, delivery took a while."
110,283,20260601,2026-06-01,1,Monday,0,23,6,June,2,2026,2026-06,5942,5943,Cliente_005943,Sao Paulo,Brazil,VIP,282,283,Sao Paulo Bella Eatery,Italian,Sao Paulo,Brazil,Medio,3.8,1,"It was fine, some items were cold."
111,284,20260521,2026-05-21,21,Thursday,0,21,5,May,2,2026,2026-05,5916,5917,Cliente_005917,Los Angeles,United States,VIP,283,284,Sao Paulo Coastal Corner,Mediterranean,Sao Paulo,Brazil,Medio,3.8,0,
112,285,20250530,2025-05-30,30,Friday,0,22,5,May,2,2025,2025-05,1024,1025,Cliente_001025,Sao Paulo,Brazil,VIP,284,285,Sao Paulo Aleppo Place,Middle Eastern,Sao Paulo,Brazil,Alto,4.2,0,
113,289,20260607,2026-06-07,7,Sunday,1,24,6,June,2,2026,2026-06,72,73,Cliente_000073,Los Angeles,United States,VIP,288,289,Osaka Tapas Table,Spanish,Osaka,Japan,Bajo,3.4,0,
114,293,20260803,2026-08-03,3,Monday,0,32,8,August,3,2026,2026-08,4226,4227,Cliente_004227,Rio de Janeiro,Brazil,VIP,292,293,Rio de Janeiro Charcoal Bistro,Korean,Rio de Janeiro,Brazil,Bajo,3.1,0,
115,295,20260531,2026-05-31,31,Sunday,1,23,5,May,2,2026,2026-05,3282,3283,Cliente_003283,Tokyo,Japan,Recurrente,294,295,Tokyo Amelie Eatery,French,Tokyo,Japan,Medio,2.5,0,
116,301,20250720,2025-07-20,20,Sunday,1,30,7,July,3,2025,2025-07,2118,2119,Cliente_002119,Bangalore,India,VIP,300,301,Bangalore Wok Table,Chinese,Bangalore,India,Medio,2.1,0,
117,302,20260201,2026-02-01,1,Sunday,1,6,2,February,1,2026,2026-02,449,450,Cliente_000450,Tokyo,Japan,VIP,301,302,Tokyo Perfume River Kitchen & Bar,Vietnamese,Tokyo,Japan,Alto,4.9,0,
