cambio_precio_key,fecha_key,fecha,mes,nombre_mes,trimestre,anio,anio_mes,item_menu_key,item_menu_id,nombre_item,categoria_item,cocina_item,disponible_item,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,precio_anterior,precio_nuevo,monto_cambio,porcentaje_cambio
43,20250419,2025-04-19,4,April,2,2025,2025-04,21,22,Picanha Steak,Main Course,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,22.45,25.74,3.29,14.65
44,20260125,2026-01-25,1,January,1,2026,2026-01,21,22,Picanha Steak,Main Course,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,25.74,27.38,1.64,6.37
45,20250624,2025-06-24,6,June,2,2025,2025-06,22,23,Coxinha,Specialty,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,21.21,22.67,1.46,6.88
46,20250912,2025-09-12,9,September,3,2025,2025-09,22,23,Coxinha,Specialty,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,22.67,24.38,1.71,7.54
47,20250403,2025-04-03,4,April,2,2025,2025-04,23,24,Pao de Queijo,Specialty,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,35.23,41.18,5.95,16.89
48,20260324,2026-03-24,3,March,1,2026,2026-03,23,24,Pao de Queijo,Specialty,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,41.18,45.75,4.57,11.1
49,20250404,2025-04-04,4,April,2,2025,2025-04,24,25,Moqueca,Dessert,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,29.36,32.06,2.7,9.2
50,20251101,2025-11-01,11,November,4,2025,2025-11,24,25,Moqueca,Dessert,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,32.06,33.75,1.69,5.27
51,20250531,2025-05-31,5,May,2,2025,2025-05,25,26,Brigadeiro,Dessert,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,32.58,33.33,0.75,2.3
52,20260201,2026-02-01,2,February,1,2026,2026-02,25,26,Brigadeiro,Dessert,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,33.33,37.88,4.55,13.65
53,20250723,2025-07-23,7,July,3,2025,2025-07,26,27,Farofa,Side Dish,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,31.9,35.05,3.15,9.87
54,20260309,2026-03-09,3,March,1,2026,2026-03,26,27,Farofa,Side Dish,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,35.05,39.38,4.33,12.35
55,20241221,2024-12-21,12,December,4,2024,2024-12,27,28,Mixed Churrasco,Side Dish,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,28.02,28.64,0.62,2.21
56,20260119,2026-01-19,1,January,1,2026,2026-01,27,28,Mixed Churrasco,Side Dish,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,28.64,31.13,2.49,8.69
57,20250522,2025-05-22,5,May,2,2025,2025-05,28,29,Acai Bowl,Beverage,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,19.38,22.44,3.06,15.79
58,20251130,2025-11-30,11,November,4,2025,2025-11,28,29,Acai Bowl,Beverage,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,22.44,25.5,3.06,13.64
59,20250707,2025-07-07,7,July,3,2025,2025-07,29,30,Passion Fruit Mousse,Beverage,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,25.84,28.64,2.8,10.84
60,20251201,2025-12-01,12,December,4,2025,2025-12,29,30,Passion Fruit Mousse,Beverage,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,28.64,31.13,2.49,8.69
61,20250218,2025-02-18,2,February,1,2025,2025-02,30,31,Seafood Paella,Main Course,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,35.33,38.24,2.91,8.24
62,20251108,2025-11-08,11,November,4,2025,2025-11,30,31,Seafood Paella,Main Course,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,38.24,41.57,3.33,8.71
63,20241114,2024-11-14,11,November,4,2024,2024-11,31,32,Patatas Bravas,Main Course,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,42.75,45.84,3.09,7.23
64,20260725,2026-07-25,7,July,3,2026,2026-07,31,32,Patatas Bravas,Main Course,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,45.84,51.5,5.66,12.35
65,20250314,2025-03-14,3,March,1,2025,2025-03,32,33,Gazpacho,Specialty,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,33.94,39.82,5.88,17.32
66,20260512,2026-05-12,5,May,2,2026,2026-05,32,33,Gazpacho,Specialty,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,39.82,45.25,5.43,13.64
67,20250628,2025-06-28,6,June,2,2025,2025-06,33,34,Tortilla Espanola,Specialty,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,27.68,32.78,5.1,18.42
68,20251126,2025-11-26,11,November,4,2025,2025-11,33,34,Tortilla Espanola,Specialty,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,32.78,36.42,3.64,11.1
69,20250127,2025-01-27,1,January,1,2025,2025-01,34,35,Jamon Croquetas,Dessert,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,31.68,36.89,5.21,16.45
70,20260426,2026-04-26,4,April,2,2026,2026-04,34,35,Jamon Croquetas,Dessert,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,36.89,40.1,3.21,8.7
71,20250421,2025-04-21,4,April,2,2025,2025-04,35,36,Grilled Octopus,Dessert,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,21.5,24.5,3.0,13.95
72,20251222,2025-12-22,12,December,4,2025,2025-12,35,36,Grilled Octopus,Dessert,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,24.5,27.22,2.72,11.1
73,20250119,2025-01-19,1,January,1,2025,2025-01,36,37,Spanish Meatballs,Side Dish,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,25.53,25.25,-0.28,-1.1
74,20260216,2026-02-16,2,February,1,2026,2026-02,36,37,Spanish Meatballs,Side Dish,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,25.25,28.69,3.44,13.62
75,20240923,2024-09-23,9,September,3,2024,2024-09,37,38,Pan con Tomate,Side Dish,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,37.64,38.96,1.32,3.51
76,20251218,2025-12-18,12,December,4,2025,2025-12,37,38,Pan con Tomate,Side Dish,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,38.96,43.77,4.81,12.35
77,20250616,2025-06-16,6,June,2,2025,2025-06,38,39,Churros con Chocolate,Beverage,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,37.74,44.69,6.95,18.42
78,20260730,2026-07-30,7,July,3,2026,2026-07,38,39,Churros con Chocolate,Beverage,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,44.69,49.66,4.97,11.12
79,20250308,2025-03-08,3,March,1,2025,2025-03,39,40,Sangria Mocktail,Beverage,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,19.85,22.48,2.63,13.25
80,20251110,2025-11-10,11,November,4,2025,2025-11,39,40,Sangria Mocktail,Beverage,Spanish,1,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,22.48,23.91,1.43,6.36
81,20250630,2025-06-30,6,June,2,2025,2025-06,40,41,Butter Chicken,Main Course,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,18.14,22.38,4.24,23.37
82,20260518,2026-05-18,5,May,2,2026,2026-05,40,41,Butter Chicken,Main Course,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,22.38,23.56,1.18,5.27
83,20250305,2025-03-05,3,March,1,2025,2025-03,41,42,Chicken Tikka Masala,Main Course,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,11.78,14.54,2.76,23.43
84,20250924,2025-09-24,9,September,3,2025,2025-09,41,42,Chicken Tikka Masala,Main Course,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,14.54,15.3,0.76,5.23
85,20241014,2024-10-14,10,October,4,2024,2024-10,42,43,Lamb Biryani,Specialty,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,18.14,20.77,2.63,14.5
86,20260404,2026-04-04,4,April,2,2026,2026-04,42,43,Lamb Biryani,Specialty,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,20.77,21.86,1.09,5.25
87,20250303,2025-03-03,3,March,1,2025,2025-03,43,44,Palak Paneer,Specialty,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,20.91,21.88,0.97,4.64
88,20260226,2026-02-26,2,February,1,2026,2026-02,43,44,Palak Paneer,Specialty,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,21.88,24.04,2.16,9.87
89,20250202,2025-02-02,2,February,1,2025,2025-02,44,45,Vegetable Samosas,Dessert,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,12.79,14.53,1.74,13.6
90,20260209,2026-02-09,2,February,1,2026,2026-02,44,45,Vegetable Samosas,Dessert,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,14.53,15.79,1.26,8.67
91,20250613,2025-06-13,6,June,2,2025,2025-06,45,46,Garlic Naan,Dessert,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,17.07,19.45,2.38,13.94
92,20251012,2025-10-12,10,October,4,2025,2025-10,45,46,Garlic Naan,Dessert,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,19.45,21.61,2.16,11.11
93,20240917,2024-09-17,9,September,3,2024,2024-09,46,47,Chana Masala,Side Dish,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,23.31,26.81,3.5,15.02
94,20260501,2026-05-01,5,May,2,2026,2026-05,46,47,Chana Masala,Side Dish,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,26.81,29.14,2.33,8.69
95,20240916,2024-09-16,9,September,3,2024,2024-09,47,48,Tandoori Chicken,Side Dish,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,18.85,22.38,3.53,18.73
96,20251208,2025-12-08,12,December,4,2025,2025-12,47,48,Tandoori Chicken,Side Dish,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,22.38,23.56,1.18,5.27
97,20250422,2025-04-22,4,April,2,2025,2025-04,48,49,Dal Makhani,Beverage,Indian,0,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,13.66,16.71,3.05,22.33
98,20260124,2026-01-24,1,January,1,2026,2026-01,48,49,Dal Makhani,Beverage,Indian,0,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,16.71,17.97,1.26,7.54
99,20241014,2024-10-14,10,October,4,2024,2024-10,49,50,Mango Lassi,Beverage,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,17.93,19.89,1.96,10.93
100,20251229,2025-12-29,12,December,4,2025,2025-12,49,50,Mango Lassi,Beverage,Indian,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,19.89,21.86,1.97,9.9
101,20250607,2025-06-07,6,June,2,2025,2025-06,50,51,Moussaka,Main Course,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,18.23,21.93,3.7,20.3
102,20260504,2026-05-04,5,May,2,2026,2026-05,50,51,Moussaka,Main Course,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,21.93,23.08,1.15,5.24
103,20250324,2025-03-24,3,March,1,2025,2025-03,51,52,Chicken Souvlaki,Main Course,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,25.74,26.33,0.59,2.29
104,20260417,2026-04-17,4,April,2,2026,2026-04,51,52,Chicken Souvlaki,Main Course,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,26.33,29.25,2.92,11.09
105,20250204,2025-02-04,2,February,1,2025,2025-02,52,53,Greek Salad,Specialty,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,33.93,35.49,1.56,4.6
106,20260417,2026-04-17,4,April,2,2026,2026-04,52,53,Greek Salad,Specialty,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,35.49,39.0,3.51,9.89
107,20240926,2024-09-26,9,September,3,2024,2024-09,53,54,Spanakopita,Specialty,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,34.48,40.66,6.18,17.92
108,20251213,2025-12-13,12,December,4,2025,2025-12,53,54,Spanakopita,Specialty,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,40.66,44.2,3.54,8.71
109,20250207,2025-02-07,2,February,1,2025,2025-02,54,55,Gyro Plate,Dessert,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,21.06,24.75,3.69,17.52
110,20260530,2026-05-30,5,May,2,2026,2026-05,54,55,Gyro Plate,Dessert,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,24.75,26.33,1.58,6.38
111,20250317,2025-03-17,3,March,1,2025,2025-03,55,56,Tzatziki with Pita,Dessert,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,20.01,23.43,3.42,17.09
112,20251127,2025-11-27,11,November,4,2025,2025-11,55,56,Tzatziki with Pita,Dessert,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,23.43,26.33,2.9,12.38
113,20241030,2024-10-30,10,October,4,2024,2024-10,56,57,Dolmades,Side Dish,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,18.52,22.85,4.33,23.38
114,20260703,2026-07-03,7,July,3,2026,2026-07,56,57,Dolmades,Side Dish,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,22.85,24.05,1.2,5.25
115,20250127,2025-01-27,1,January,1,2025,2025-01,57,58,Pastitsio,Side Dish,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,21.29,24.57,3.28,15.41
116,20260419,2026-04-19,4,April,2,2026,2026-04,57,58,Pastitsio,Side Dish,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,24.57,27.3,2.73,11.11
117,20240913,2024-09-13,9,September,3,2024,2024-09,58,59,Greek Lemon Chicken,Beverage,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,18.2,20.7,2.5,13.74
118,20260121,2026-01-21,1,January,1,2026,2026-01,58,59,Greek Lemon Chicken,Beverage,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,20.7,22.75,2.05,9.9
119,20250814,2025-08-14,8,August,3,2025,2025-08,59,60,Baklava,Beverage,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,35.95,40.5,4.55,12.66
120,20251020,2025-10-20,10,October,4,2025,2025-10,59,60,Baklava,Beverage,Greek,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,40.5,45.5,5.0,12.35
121,20240906,2024-09-06,9,September,3,2024,2024-09,60,61,Tacos al Pastor,Main Course,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,8.32,9.22,0.9,10.82
122,20260820,2026-08-20,8,August,3,2026,2026-08,60,61,Tacos al Pastor,Main Course,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,9.22,10.02,0.8,8.68
123,20241023,2024-10-23,10,October,4,2024,2024-10,61,62,Chicken Burrito,Main Course,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,8.58,10.08,1.5,17.48
124,20250909,2025-09-09,9,September,3,2025,2025-09,61,62,Chicken Burrito,Main Course,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,10.08,10.72,0.64,6.35
125,20241207,2024-12-07,12,December,4,2024,2024-12,62,63,Beef Enchiladas,Specialty,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,9.54,9.76,0.22,2.31
126,20250828,2025-08-28,8,August,3,2025,2025-08,62,63,Beef Enchiladas,Specialty,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,9.76,10.72,0.96,9.84
127,20250527,2025-05-27,5,May,2,2025,2025-05,63,64,Cheese Quesadilla,Specialty,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,8.06,9.44,1.38,17.12
128,20251207,2025-12-07,12,December,4,2025,2025-12,63,64,Cheese Quesadilla,Specialty,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,9.44,10.61,1.17,12.39
129,20241109,2024-11-09,11,November,4,2024,2024-11,64,65,Guacamole with Chips,Dessert,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,5.85,6.58,0.73,12.48
130,20260709,2026-07-09,7,July,3,2026,2026-07,64,65,Guacamole with Chips,Dessert,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,6.58,7.31,0.73,11.09
131,20241123,2024-11-23,11,November,4,2024,2024-11,65,66,Chiles Rellenos,Dessert,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,11.49,12.96,1.47,12.79
132,20260204,2026-02-04,2,February,1,2026,2026-02,65,66,Chiles Rellenos,Dessert,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,12.96,14.73,1.77,13.66
133,20250526,2025-05-26,5,May,2,2025,2025-05,66,67,Grilled Elote,Side Dish,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,10.48,11.96,1.48,14.12
134,20260702,2026-07-02,7,July,3,2026,2026-07,66,67,Grilled Elote,Side Dish,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,11.96,13.44,1.48,12.37
135,20240830,2024-08-30,8,August,3,2024,2024-08,67,68,Churros,Side Dish,Mexican,1,6,7,New York Salsa Eatery,Mexican,New York,United States,6.89,7.94,1.05,15.24
